"Timestamp","I expect to do well in this class.","Considering the difficulty of this course and my skills, I think I will do well in this class.","I think the field of robotics is interesting","To be honest, I just don’t find science/engineering interesting","I think what we’re learning in this class is interesting.","I think what we are studying in introduction to robotics class is useful to know.","I can see how what I learn from robotics and engineering applies to life.","The most important thing for me in this course is to understand the content as thoroughly as possible.","Mastering the material in Introduction to robotics is important to me.","It is important for me to do well compared to others in this class.","I just want to avoid getting a low grade in this class","I look forward to coming to this class.","I find the content of this course personally meaningful."
"2016/12/09 2:21:53 PM GMT+8","6","6","6","2","6","4","5","5","5","6","1","4","6"
"2016/12/09 2:23:06 PM GMT+8","6","3","5","2","5","5","7","6","5","5","6","4","5"
"2016/12/09 2:25:03 PM GMT+8","7","5","6","1","7","6","7","7","6","7","7","7","6"
"2016/12/09 2:25:32 PM GMT+8","6","6","7","1","7","7","7","7","6","5","7","7","7"
"2016/12/09 3:11:35 PM GMT+8","6","5","6","1","7","7","6","6","6","1","1","5","5"
"2016/12/09 3:17:35 PM GMT+8","6","5","6","3","7","6","7","6","6","6","6","6","6"
"2016/12/09 3:18:43 PM GMT+8","6","5","6","2","6","6","6","7","7","7","4","6","5"
"2016/12/10 5:56:31 PM GMT+8","6","6","7","1","7","7","7","7","7","7","7","7","7"
"2016/12/10 5:56:59 PM GMT+8","6","5","7","1","6","6","6","7","7","7","7","7","6"
"2016/12/10 5:58:55 PM GMT+8","7","7","7","1","7","7","7","7","7","6","1","7","7"
"2016/12/10 8:30:27 PM GMT+8","7","5","5","2","6","5","4","5","6","4","6","6","5"
"2016/12/10 10:03:00 PM GMT+8","7","6","6","1","6","7","7","7","6","7","3","6","7"
"2016/12/10 11:18:36 PM GMT+8","7","7","7","1","7","6","5","7","6","7","4","7","7"
"2016/12/12 8:37:26 AM GMT+8","7","6","7","1","7","7","7","7","7","7","7","7","7"
"2016/12/12 7:44:24 PM GMT+8","7","7","7","1","7","7","7","7","7","6","5","7","7"
